time of insert, time of get, number of rehashed, number of keys
51,4,7,1000
370,46,11,10000
3414,551,14,100000
31790,5028,17,1000000
435326,50539,21,10000000
3699405,509774,24,100000000
6,0,4,100
25,4,7,1000
398,46,11,10000
3547,607,14,100000
32222,5070,17,1000000
428860,50421,21,10000000
3672350,509906,24,100000000
5,0,4,100
39,5,7,1000
435,46,11,10000
3393,580,14,100000
32306,5285,17,1000000
438438,50521,21,10000000
3663476,508493,24,100000000
5,0,4,100
25,4,7,1000
378,46,11,10000
3608,472,14,100000
30911,4893,17,1000000
427259,50558,21,10000000
3694946,506847,24,100000000
5,0,4,100
28,4,7,1000
407,45,11,10000
3850,585,14,100000
31147,4970,17,1000000
426399,49492,21,10000000
3760990,517182,24,100000000
6,0,4,100
30,5,7,1000
387,49,11,10000
3502,494,14,100000
32061,5027,17,1000000
431816,50036,21,10000000
3696111,515520,24,100000000
5,0,4,100
26,4,7,1000
435,48,11,10000
3445,575,14,100000
31425,4994,17,1000000
427767,50426,21,10000000
3640353,505116,24,100000000
5,0,4,100
26,5,7,1000
385,49,11,10000
3665,610,14,100000
31928,4928,17,1000000
424040,50568,21,10000000
3675373,508195,24,100000000
5,0,4,100
26,4,7,1000
366,46,11,10000
3610,462,14,100000
32127,5174,17,1000000
428360,50091,21,10000000
3642272,511381,24,100000000
6,0,4,100
27,5,7,1000
408,48,11,10000
3515,603,14,100000
31977,4914,17,1000000
429856,49699,21,10000000
3719849,509671,24,100000000
5,0,4,100
27,4,7,1000
371,46,11,10000
3340,574,14,100000
32355,5285,17,1000000
427995,50270,21,10000000
3689064,510288,24,100000000
5,0,4,100
25,4,7,1000
392,48,11,10000
3816,561,14,100000
31652,5000,17,1000000
418771,50644,21,10000000
3590345,503239,24,100000000
6,0,4,100
25,4,7,1000
366,46,11,10000
3657,537,14,100000
32635,5336,17,1000000
429908,50704,21,10000000
3614456,513273,24,100000000
5,0,4,100
25,4,7,1000
455,46,11,10000
3513,589,14,100000
30846,5002,17,1000000
422610,50899,21,10000000
3601169,511171,24,100000000
7,0,4,100
26,5,7,1000
433,49,11,10000
3588,490,14,100000
32838,4958,17,1000000
429711,51327,21,10000000
3622184,515097,24,100000000
5,0,4,100
26,4,7,1000
500,47,11,10000
3449,472,14,100000
32569,5146,17,1000000
424978,50322,21,10000000
3694492,511134,24,100000000
5,0,4,100
26,5,7,1000
447,46,11,10000
3419,590,14,100000
31924,5117,17,1000000
422849,49945,21,10000000
3599557,509311,24,100000000
5,0,4,100
25,4,7,1000
450,46,11,10000
3598,473,14,100000
30885,4948,17,1000000
426688,49879,21,10000000
3631806,507921,24,100000000
5,0,4,100
25,4,7,1000
421,46,11,10000
3614,608,14,100000
31977,4857,17,1000000
440594,50734,21,10000000
3642416,509809,24,100000000
5,0,4,100
26,5,7,1000
467,48,11,10000
3671,585,14,100000
32809,5350,17,1000000
425352,50323,21,10000000
3685909,511888,24,100000000
5,0,4,100
28,4,7,1000
440,46,11,10000
3657,593,14,100000
31334,5057,17,1000000
427939,49430,21,10000000
3684871,512012,24,100000000
12,1,4,100
27,5,7,1000
531,47,11,10000
3480,476,14,100000
31275,5017,17,1000000
435595,50183,21,10000000
3706370,508906,24,100000000
4,0,4,100
32,4,7,1000
479,56,11,10000
3545,563,14,100000
30082,4886,17,1000000
404152,47097,21,10000000
3585383,495077,24,100000000
4,0,4,100
29,5,7,1000
356,46,11,10000
3330,603,14,100000
31486,4804,17,1000000
424591,49297,21,10000000
3608568,494774,24,100000000
4,0,4,100
27,5,7,1000
368,48,11,10000
3432,488,14,100000
30367,5069,17,1000000
427876,49202,21,10000000
3573186,499806,24,100000000
4,0,4,100
39,4,7,1000
356,46,11,10000
3514,506,14,100000
30824,4955,17,1000000
416771,49744,21,10000000
3573577,498742,24,100000000
4,0,4,100
25,4,7,1000
357,46,11,10000
3276,470,14,100000
30201,4879,17,1000000
416053,49522,21,10000000
3629689,510440,24,100000000
5,0,4,100
25,6,7,1000
368,46,11,10000
3355,469,14,100000
30240,4999,17,1000000
424767,50730,21,10000000
3589059,517687,24,100000000
4,0,4,100
42,4,7,1000
375,48,11,10000
3381,565,14,100000
30790,5058,17,1000000
412731,49606,21,10000000
3513411,500449,24,100000000
4,0,4,100
25,4,7,1000
390,46,11,10000
3538,464,14,100000
31554,5152,17,1000000
412162,49538,21,10000000
3574979,500752,24,100000000
5,0,4,100
32,5,7,1000
369,60,11,10000
3483,607,14,100000
31069,4940,17,1000000
423124,50677,21,10000000
3592482,499135,24,100000000
4,0,4,100
32,5,7,1000
354,46,11,10000
3308,501,14,100000
31043,4908,17,1000000
425258,50645,21,10000000
3535898,507774,24,100000000
4,0,4,100
31,4,7,1000
353,46,11,10000
3474,581,14,100000
31252,5014,17,1000000
419931,49901,21,10000000
3598745,513154,24,100000000
5,0,4,100
26,4,7,1000
355,46,11,10000
3561,479,14,100000
30707,4952,17,1000000
420551,50307,21,10000000
3548596,506834,24,100000000
5,0,4,100
26,5,7,1000
364,46,11,10000
3477,593,14,100000
30682,4797,17,1000000
412404,49507,21,10000000
3602452,510738,24,100000000
5,0,4,100
28,5,7,1000
432,46,11,10000
3526,483,14,100000
32227,5393,17,1000000
423232,50447,21,10000000
3612834,502126,24,100000000
5,0,4,100
25,4,7,1000
355,46,11,10000
3414,603,14,100000
30842,4971,17,1000000
413873,49810,21,10000000
3554875,503234,24,100000000
5,0,4,100
25,4,7,1000
363,46,11,10000
3247,470,14,100000
31169,5074,17,1000000
419212,49670,21,10000000
3618662,510540,24,100000000
5,0,4,100
25,4,7,1000
359,57,11,10000
3455,612,14,100000
31007,4943,17,1000000
424539,50297,21,10000000
3595057,500311,24,100000000
5,0,4,100
27,4,7,1000
436,46,11,10000
3429,594,14,100000
31606,4996,17,1000000
434982,51447,21,10000000
3745262,524738,24,100000000
6,0,4,100
27,5,7,1000
385,48,11,10000
3318,475,14,100000
31256,4914,17,1000000
422408,50381,21,10000000
3614125,503262,24,100000000
6,0,4,100
27,5,7,1000
423,49,11,10000
3514,483,14,100000
31323,5092,17,1000000
418553,50644,21,10000000
3616852,509892,24,100000000
4,0,4,100
29,5,7,1000
374,48,11,10000
3464,611,14,100000
31093,5101,17,1000000
419867,50452,21,10000000
3567211,519682,24,100000000
5,0,4,100
25,4,7,1000
417,46,11,10000
3556,566,14,100000
31165,4895,17,1000000
417752,50591,21,10000000
3668990,507872,24,100000000
4,0,4,100
25,4,7,1000
362,46,11,10000
3221,565,14,100000
31325,5014,17,1000000
424992,51728,21,10000000
3676437,505993,24,100000000
5,0,4,100
28,5,7,1000
362,46,11,10000
3537,462,14,100000
31422,5450,17,1000000
421260,50029,21,10000000
3666856,508560,24,100000000
5,0,4,100
33,5,7,1000
381,48,11,10000
3404,608,14,100000
31360,4928,17,1000000
417094,49143,21,10000000
3698732,507838,24,100000000
5,0,4,100
27,4,7,1000
368,46,11,10000
3224,571,14,100000
31771,5112,17,1000000
419202,50334,21,10000000
3819549,530419,24,100000000
5,0,4,100
26,5,7,1000
405,48,11,10000
3451,613,14,100000
29744,4653,17,1000000
399121,47722,21,10000000
3481803,473237,24,100000000
4,0,4,100
25,4,7,1000
359,45,11,10000
3287,482,14,100000
30090,4798,17,1000000
399440,47658,21,10000000
3487000,485333,24,100000000
5,0,4,100
24,4,7,1000
382,46,11,10000
3284,462,14,100000
32263,4902,17,1000000
408632,46901,21,10000000
3482804,487695,24,100000000
6,0,4,100
28,5,7,1000
380,48,11,10000
3400,460,14,100000
30683,4719,17,1000000
399527,47438,21,10000000
3459125,468334,24,100000000
5,0,4,100
26,4,7,1000
378,45,11,10000
3278,574,14,100000
31534,4989,17,1000000
403918,47559,21,10000000
3396782,476517,24,100000000
4,0,4,100
26,5,7,1000
465,54,11,10000
3344,491,14,100000
28196,4724,17,1000000
401559,47792,21,10000000
3486606,467153,24,100000000
4,0,4,100
25,4,7,1000
354,45,11,10000
3255,460,14,100000
30005,4820,17,1000000
397905,46756,21,10000000
3534455,468710,24,100000000
5,0,4,100
26,4,7,1000
356,56,11,10000
3320,463,14,100000
29623,4876,17,1000000
401993,46860,21,10000000
3419899,490750,24,100000000
6,0,4,100
31,4,7,1000
343,56,11,10000
3340,549,14,100000
30349,4767,17,1000000
398464,47333,21,10000000
3402122,475132,24,100000000
5,0,4,100
25,4,7,1000
343,45,11,10000
3262,469,14,100000
29833,4702,17,1000000
397233,47141,21,10000000
3420659,471332,24,100000000
5,0,4,100
26,4,7,1000
382,46,11,10000
3294,462,14,100000
30278,4777,17,1000000
395921,46622,21,10000000
3453389,473950,24,100000000
6,0,4,100
25,4,7,1000
366,46,11,10000
3410,483,14,100000
30031,4675,17,1000000
413552,46716,21,10000000
3636443,520713,24,100000000
5,0,4,100
28,5,7,1000
391,48,11,10000
3309,470,14,100000
30678,5098,17,1000000
405376,48821,21,10000000
3410708,479862,24,100000000
5,1,4,100
26,5,7,1000
367,48,11,10000
3309,569,14,100000
30223,4790,17,1000000
401487,48098,21,10000000
3394641,470548,24,100000000
5,0,4,100
27,5,7,1000
374,48,11,10000
3299,475,14,100000
30344,4713,17,1000000
403412,47628,21,10000000
3394462,478104,24,100000000
5,0,4,100
26,5,7,1000
403,48,11,10000
3211,575,14,100000
29957,4721,17,1000000
410285,47500,21,10000000
3435858,470735,24,100000000
5,0,4,100
28,5,7,1000
378,48,11,10000
3259,461,14,100000
30325,4746,17,1000000
409879,46407,21,10000000
3398371,475381,24,100000000
5,0,4,100
34,5,7,1000
385,48,11,10000
3249,462,14,100000
30186,4836,17,1000000
401175,47299,21,10000000
3386238,468941,24,100000000
6,0,4,100
29,5,7,1000
377,48,11,10000
3244,576,14,100000
29958,4760,17,1000000
403015,47554,21,10000000
3390883,487368,24,100000000
5,0,4,100
26,4,7,1000
386,46,11,10000
3263,583,14,100000
30228,4679,17,1000000
404034,47463,21,10000000
3449406,471757,24,100000000
6,0,4,100
26,5,7,1000
483,47,11,10000
3488,617,14,100000
30019,4653,17,1000000
407331,46946,21,10000000
3403827,477449,24,100000000
4,0,4,100
27,5,7,1000
474,48,11,10000
3303,583,14,100000
30551,4786,17,1000000
403149,47458,21,10000000
3506977,486006,24,100000000
4,0,4,100
33,4,7,1000
382,46,11,10000
3316,462,14,100000
31068,4679,17,1000000
404269,46377,21,10000000
3452632,480126,24,100000000
4,0,4,100
25,4,7,1000
360,45,11,10000
3335,470,14,100000
29910,4755,17,1000000
405239,47464,21,10000000
3403806,467664,24,100000000
5,0,4,100
25,4,7,1000
373,45,11,10000
3515,613,14,100000
30353,4753,17,1000000
403568,46297,21,10000000
3462170,471489,24,100000000
4,0,4,100
26,4,7,1000
394,45,11,10000
3452,571,14,100000
30086,4759,17,1000000
399278,46901,21,10000000
3442151,467267,24,100000000
13,0,4,100
52,5,7,1000
437,47,11,10000
3657,483,14,100000
31618,4765,17,1000000
424233,52592,21,10000000
3614862,493899,24,100000000
5,0,4,100
27,5,7,1000
379,47,11,10000
3322,557,14,100000
32674,4842,17,1000000
421510,46603,21,10000000
3388040,468705,24,100000000
5,0,4,100
26,4,7,1000
463,47,11,10000
3350,570,14,100000
35163,5019,17,1000000
398501,46836,21,10000000
3385544,465750,24,100000000
4,1,4,100
28,5,7,1000
376,59,11,10000
3341,467,14,100000
29680,4734,17,1000000
401781,47197,21,10000000
3404606,467708,24,100000000
5,0,4,100
26,5,7,1000
506,47,11,10000
3339,575,14,100000
31177,4801,17,1000000
403818,46891,21,10000000
3572761,495241,24,100000000
5,0,4,100
26,5,7,1000
373,47,11,10000
3331,543,14,100000
30030,4734,17,1000000
410340,47103,21,10000000
3476369,483259,24,100000000
5,0,4,100
27,4,7,1000
