time of insert, time of get, number of rehashed, number of keys
176953,33033,undefined,1000000
1776324,334043,undefined,10000000
20067533,3322846,undefined,100000000
20,3,undefined,100
160,27,undefined,1000
1515,265,undefined,10000
18220,2888,undefined,100000
174358,32471,undefined,1000000
1774147,325980,undefined,10000000
20011369,3363761,undefined,100000000
21,3,undefined,100
163,27,undefined,1000
1529,330,undefined,10000
18577,3234,undefined,100000
177820,33023,undefined,1000000
1782983,332632,undefined,10000000
20124180,3297834,undefined,100000000
21,3,undefined,100
209,26,undefined,1000
1558,329,undefined,10000
18309,2830,undefined,100000
178116,32525,undefined,1000000
1784733,326533,undefined,10000000
20119576,3362275,undefined,100000000
20,3,undefined,100
159,26,undefined,1000
1499,328,undefined,10000
17057,3010,undefined,100000
175442,32393,undefined,1000000
1777079,331589,undefined,10000000
20134172,3301160,undefined,100000000
20,3,undefined,100
160,27,undefined,1000
1514,357,undefined,10000
17249,2860,undefined,100000
183520,34024,undefined,1000000
1777266,326383,undefined,10000000
20196648,3376796,undefined,100000000
22,3,undefined,100
168,28,undefined,1000
1593,338,undefined,10000
18684,2924,undefined,100000
177047,33059,undefined,1000000
1797223,332744,undefined,10000000
20219086,3294836,undefined,100000000
20,3,undefined,100
163,26,undefined,1000
1530,263,undefined,10000
19007,2754,undefined,100000
176383,35929,undefined,1000000
1912751,325598,undefined,10000000
20294893,3313911,undefined,100000000
21,3,undefined,100
168,28,undefined,1000
1701,277,undefined,10000
18985,3041,undefined,100000
175220,33150,undefined,1000000
1826175,334402,undefined,10000000
20405259,3349566,undefined,100000000
21,3,undefined,100
156,27,undefined,1000
1545,331,undefined,10000
19286,2929,undefined,100000
175963,33024,undefined,1000000
1910545,326076,undefined,10000000
20285694,3355042,undefined,100000000
21,3,undefined,100
167,28,undefined,1000
1600,336,undefined,10000
18492,2995,undefined,100000
174283,32485,undefined,1000000
1913033,331098,undefined,10000000
20345203,3309653,undefined,100000000
21,3,undefined,100
164,26,undefined,1000
1515,329,undefined,10000
18171,2991,undefined,100000
182366,33665,undefined,1000000
1799057,328221,undefined,10000000
20585174,3343547,undefined,100000000
22,3,undefined,100
161,27,undefined,1000
1629,336,undefined,10000
17880,3100,undefined,100000
176832,33533,undefined,1000000
1870352,328685,undefined,10000000
20520660,3310931,undefined,100000000
21,3,undefined,100
171,26,undefined,1000
1543,264,undefined,10000
18846,2927,undefined,100000
173983,32787,undefined,1000000
1810737,330590,undefined,10000000
20730349,3361835,undefined,100000000
21,3,undefined,100
157,27,undefined,1000
1525,328,undefined,10000
18335,2923,undefined,100000
174989,32196,undefined,1000000
1812312,333690,undefined,10000000
20505945,3381234,undefined,100000000
22,3,undefined,100
